plot,year,corner,scale,spcode
205,1998,1,0.1,acalvirg
205,1998,2,0.1,acalvirg
205,1998,3,0.01,acalvirg
205,1998,4,1,achimill
205,1998,2,1,ambrarte
205,1998,3,10,ambrarte
205,1998,1,0.01,ambrpsil
205,1998,2,0.1,ambrpsil
205,1998,3,10,ambrpsil
205,1998,4,1,ambrpsil
205,1998,4,1,amorcane
205,1998,1,10,amphdrac
205,1998,3,10,amphdrac
205,1998,1,0.1,andrgera
205,1998,2,0.1,andrgera
205,1998,3,0.01,andrgera
205,1998,4,0.01,andrgera
205,1998,3,10,arnoplan
205,1998,1,1,asclviri
205,1998,2,1,asclviri
205,1998,3,10,asclviri
205,1998,4,10,asclviri
205,1998,1,10,asteeric
205,1998,4,1,asteeric
205,1998,4,10,baptalba
205,1998,1,10,baptaust
205,1998,1,0.01,boutcurt
205,1998,1,1,bromjapo
205,1998,2,10,bromjapo
205,1998,3,10,bromjapo
205,1998,4,10,bromjapo
205,1998,NA,100,buchdact
205,1998,3,10,carebush
205,1998,1,10,carefest
205,1998,2,10,carefest
205,1998,3,1,carefest
205,1998,4,0.1,carefest
205,1998,3,0.1,caremicr
205,1998,1,10,chamnuta
205,1998,2,1,chamnuta
205,1998,1,1,cirsalti
205,1998,2,0.1,cirsalti
205,1998,3,0.1,cirsalti
205,1998,4,1,cirsalti
205,1998,1,1,cirsvulg
205,1998,2,1,cirsvulg
205,1998,2,1,conycana
205,1998,3,10,conycana
205,1998,3,0.1,cypeseti
205,1998,1,0.1,dicholig
205,1998,2,10,dicholig
205,1998,3,0.1,dicholig
205,1998,4,10,dicholig
205,1998,2,0.1,eleomont
205,1998,1,10,elymcana
205,1998,3,10,elymcana
205,1998,4,0.1,elymcana
205,1998,1,10,elymvirg
205,1998,2,10,elymvirg
205,1998,3,0.1,erigphil
205,1998,4,0.1,erigphil
205,1998,1,1,erigstri
205,1998,1,10,euphmarg
205,1998,2,10,euphmarg
205,1998,4,10,euphmarg
205,1998,1,1,euphspat
205,1998,2,10,juncinte
205,1998,3,10,juncinte
205,1998,1,1,lactserr
205,1998,2,0.1,lactserr
205,1998,3,0.1,lactserr
205,1998,3,10,lespproc
205,1998,2,1,lespvirg
205,1998,3,10,lespvirg
205,1998,1,10,linusulc
205,1998,2,0.1,linusulc
205,1998,3,1,linusulc
205,1998,4,1,linusulc
205,1998,1,10,medilupu
205,1998,2,0.01,medilupu
205,1998,3,10,medilupu
205,1998,4,10,medilupu
205,1998,1,10,melioffi
205,1998,2,10,melioffi
205,1998,3,0.01,melioffi
205,1998,4,1,melioffi
205,1998,4,10,monafist
205,1998,1,1,oxaldill
205,1998,2,1,oxaldill
205,1998,3,0.1,oxaldill
205,1998,4,1,oxaldill
205,1998,1,1,panivirg
205,1998,2,0.01,panivirg
205,1998,3,0.1,panivirg
205,1998,4,1,panivirg
205,1998,1,0.1,penstubi
205,1998,3,10,penstubi
205,1998,1,10,physvirg
205,1998,4,1,planvirg
205,1998,1,0.01,poaprate
205,1998,2,0.1,poaprate
205,1998,3,10,poaprate
205,1998,4,0.01,poaprate
205,1998,2,0.1,polyvert
205,1998,3,10,polyvert
205,1998,1,1,psortenu
205,1998,2,10,psortenu
205,1998,3,10,psortenu
205,1998,4,1,psortenu
205,1998,2,10,ruelhumi
205,1998,3,1,ruelhumi
205,1998,4,1,ruelhumi
205,1998,2,10,salvazur
205,1998,4,1,salvazur
205,1998,1,0.01,schiscop
205,1998,2,0.01,schiscop
205,1998,3,0.1,schiscop
205,1998,4,0.1,schiscop
205,1998,NA,100,setaparv
205,1998,1,10,solicana
205,1998,2,1,solicana
205,1998,3,1,solicana
205,1998,4,0.01,solicana
205,1998,1,0.1,sorgnuta
205,1998,2,0.1,sorgnuta
205,1998,3,0.01,sorgnuta
205,1998,4,0.01,sorgnuta
205,1998,1,0.01,sporcomp
205,1998,2,1,sporcomp
205,1998,3,0.1,sporcomp
205,1998,4,0.1,sporcomp
205,1998,1,1,stroleio
205,1998,2,0.1,stroleio
205,1998,3,0.01,stroleio
205,1998,4,0.1,stroleio
205,1998,NA,100,symporbi
205,1998,1,10,unari205
205,1998,4,1,unari205
205,1998,NA,100,verbsimp
205,1998,1,10,vernbald
205,1998,2,10,vernbald
205,1998,3,10,vernbald
205,1998,4,1,vernbald
205,1998,4,10,xantstru
206,1998,1,1,achimill
206,1998,2,10,achimill
206,1998,4,1,achimill
206,1998,2,10,ambrarte
206,1998,1,1,ambrpsil
206,1998,2,1,ambrpsil
206,1998,3,1,ambrpsil
206,1998,1,10,amorcane
206,1998,2,1,amorcane
206,1998,3,1,amorcane
206,1998,4,10,amorcane
206,1998,1,0.1,andrgera
206,1998,2,0.01,andrgera
206,1998,3,0.01,andrgera
206,1998,4,0.01,andrgera
206,1998,1,10,asclsten
206,1998,4,10,asclsten
206,1998,1,10,asclviri
206,1998,2,10,asclviri
206,1998,3,1,asclviri
206,1998,4,1,asclviri
206,1998,1,0.1,asteeric
206,1998,2,10,asteeric
206,1998,3,10,asteeric
206,1998,1,0.1,asteoole
206,1998,2,10,asteoole
206,1998,NA,100,baptbrac
206,1998,3,1,bothsacc
206,1998,1,10,briceupa
206,1998,4,10,bromjapo
206,1998,2,10,carebush
206,1998,3,0.1,carebush
206,1998,1,1,careceph
206,1998,1,10,carefest
206,1998,3,0.1,carefest
206,1998,4,1,carefest
206,1998,1,0.1,caremicr
206,1998,2,1,caremicr
206,1998,3,0.1,caremicr
206,1998,4,0.1,caremicr
206,1998,2,0.1,chamnuta
206,1998,3,10,chamnuta
206,1998,2,10,cirsalti
206,1998,2,10,cirsundu
206,1998,4,10,cirsundu
206,1998,2,1,conycana
206,1998,NA,100,coregran
206,1998,NA,100,cypeechi
206,1998,1,10,cypelupu
206,1998,4,10,cypelupu
206,1998,NA,100,dalecand
206,1998,2,10,dalepurp
206,1998,3,1,dalepurp
206,1998,1,0.1,desmilli
206,1998,2,10,desmsess
206,1998,1,0.1,dichacum
206,1998,1,0.01,dicholig
206,1998,2,0.1,dicholig
206,1998,3,1,dicholig
206,1998,4,0.1,dicholig
206,1998,3,10,digicogn
206,1998,2,10,elymcana
206,1998,1,0.1,elymvirg
206,1998,2,0.1,elymvirg
206,1998,3,0.1,elymvirg
206,1998,4,1,elymvirg
206,1998,1,10,eragspec
206,1998,2,10,eragspec
206,1998,3,0.1,eragspec
206,1998,4,0.01,eragspec
206,1998,1,10,erigstri
206,1998,2,1,erigstri
206,1998,3,0.1,erigstri
206,1998,1,1,fimbpube
206,1998,2,10,fimbpube
206,1998,4,1,fimbpube
206,1998,1,10,juncinte
206,1998,4,10,juncinte
206,1998,NA,100,koelmacr
206,1998,2,10,kummstri
206,1998,2,10,lespproc
206,1998,4,10,lespvirg
206,1998,1,10,linusulc
206,1998,2,10,lithinci
206,1998,1,10,melioffi
206,1998,3,10,melioffi
206,1998,NA,100,mimoquad
206,1998,2,0.1,oxaldill
206,1998,3,1,oxaldill
206,1998,4,1,oxaldill
206,1998,1,0.1,panivirg
206,1998,2,10,panivirg
206,1998,3,1,panivirg
206,1998,4,1,panivirg
206,1998,2,10,physpumi
206,1998,3,10,physpumi
206,1998,1,1,physvirg
206,1998,2,10,physvirg
206,1998,3,10,physvirg
206,1998,4,10,physvirg
206,1998,1,0.1,poaprate
206,1998,2,0.1,poaprate
206,1998,3,10,poaprate
206,1998,4,0.01,poaprate
206,1998,1,10,psortenu
206,1998,2,10,psortenu
206,1998,3,0.1,psortenu
206,1998,4,10,psortenu
206,1998,1,10,raticolu
206,1998,2,10,raticolu
206,1998,3,1,raticolu
206,1998,4,1,raticolu
206,1998,2,1,rosacaro
206,1998,2,1,rubuostr
206,1998,3,10,rubuostr
206,1998,4,1,rubuostr
206,1998,NA,100,rudbhirt
206,1998,1,1,ruelhumi
206,1998,2,0.1,ruelhumi
206,1998,3,10,ruelhumi
206,1998,4,0.1,ruelhumi
206,1998,1,10,salvazur
206,1998,4,1,salvazur
206,1998,1,0.01,schiscop
206,1998,2,0.01,schiscop
206,1998,3,0.1,schiscop
206,1998,4,0.01,schiscop
206,1998,2,1,setaparv
206,1998,1,1,sisycamp
206,1998,1,10,solicana
206,1998,3,10,solicana
206,1998,1,1,sorgnuta
206,1998,2,1,sorgnuta
206,1998,3,0.01,sorgnuta
206,1998,4,0.01,sorgnuta
